employeeID ,education ,maritalStatus ,monthlyIncome ,numCompaniesWorked ,environmentSatisfaction ,trainingTimesLastYear 
5600,2,Married,131160,1,3,6
4578,1,Single,41890,0,3,3
2739,4,Married,193280,1,2,2
3530,5,Married,83210,3,4,5
2865,1,Single,23420,4,4,2
1265,3,Married,40710,3,3,5
1684,2,Single,58130,2,1,2
5179,3,Married,31430,2,1,2
587,3,Married,20440,0,2,2
1894,4,Divorced,134640,1,2,2
699,2,Married,79910,0,3,2
1580,1,Married,33770,0,NA,2
4600,4,Single,55380,0,4,2
221,1,Married,57620,1,1,4
662,3,Married,25920,1,4,2
4160,3,Married,53460,4,3,2
425,2,Single,42130,1,4,3
982,3,Divorced,41270,2,1,2
1114,4,Divorced,24380,7,2,5
4060,3,Divorced,68700,1,1,5
2543,4,Divorced,104470,1,3,3
1501,4,Divorced,96670,3,1,2
4563,4,Married,21480,3,3,2
1668,4,Married,89260,1,2,4
2118,4,Single,65130,1,2,2
4248,4,Married,67990,3,2,2
3122,3,Married,162910,1,1,3
2225,1,Single,27050,1,4,2
3699,2,Divorced,103330,3,4,2
3160,3,Divorced,44480,9,4,3
1506,3,Divorced,68540,2,1,5
380,3,Single,96370,1,4,6
5000,1,Single,35910,9,3,2
3949,3,Single,54050,4,3,2
552,4,Divorced,46840,1,4,4
4389,3,Single,157870,1,4,5
3769,1,Married,15140,1,2,3
1740,2,Married,29560,5,3,2
4868,4,Single,23350,1,3,3
1121,2,Married,51540,0,3,2
3520,3,Married,69620,4,3,2
2508,3,Divorced,56750,5,4,2
3583,1,Single,23790,1,4,6
2610,3,Single,38120,1,4,3
464,3,Single,46480,0,2,2
4541,1,Married,29360,4,2,2
2829,4,Divorced,21050,0,3,3
3410,4,Married,85780,7,2,4
3462,3,Married,27060,1,4,4
2115,2,Married,63840,3,1,4
350,3,Divorced,39680,2,4,3
3416,1,Married,99070,0,3,3
2145,4,Married,132250,3,1,2
153,1,Divorced,35400,1,1,6
223,4,Divorced,28040,0,3,0
5447,3,Married,193920,6,4,3
2950,4,Married,196650,1,3,6
