jobID,jobInvolvement,jobLevel,jobRole ,jobSatisfaction 
1,3,1,Backend dev,4
2,2,1,UI designer,2
3,3,4,Mobile,2
4,2,3,IOS dev,4
5,3,1,Frontend dev,1
6,3,4,UX designer,2
7,3,2,QA,3
8,3,2,UX designer,2
9,3,3,Frontend dev,4
10,3,4,IOS dev,1
11,2,2,Android dev,4
12,3,1,Mobile,4
13,3,1,UX designer,1
14,2,1,UX designer,2
15,3,1,UX designer,4
16,3,2,Frontend dev,4
17,2,1,Mobile,3
18,3,2,Backend dev,4
19,2,1,QA,2
20,3,1,UX designer,1
21,3,2,Backend dev,2
22,2,1,UX designer,2
23,3,2,Mobile,3
24,1,1,UX designer,3
25,3,1,Android dev,4
26,3,1,IOS dev,4
27,3,1,PM,1
28,3,1,PM,4
29,2,2,UX designer,3
30,2,1,Frontend dev,4
31,2,3,QA,2
32,2,1,Android dev,4
33,3,2,UX designer,1
34,3,3,UI designer,2
35,3,1,Frontend dev,2
36,3,2,Mobile,4
37,3,1,PM,4
38,3,3,Android dev,2
39,2,1,UI designer,3
40,2,1,Mobile,2
41,2,3,IOS dev,NA
42,2,2,UX designer,2
43,3,1,UI designer,2
44,3,1,Android dev,3
45,2,1,Android dev,1
46,3,1,PM,4
47,3,2,IOS dev,4
48,3,1,IOS dev,2
49,3,2,Android dev,3
50,2,3,UI designer,2
51,2,2,QA,3
52,2,3,Frontend dev,4
53,3,2,Backend dev,1
54,3,1,IOS dev,1
55,3,2,UI designer,4
56,3,4,QA,2
57,3,1,QA,1
58,3,4,UI designer,4
59,3,3,Frontend dev,3
60,3,2,IOS dev,2
61,3,3,Backend dev,2
62,4,3,Android dev,2
63,4,4,Mobile,3
64,4,2,IOS dev,4
65,3,2,IOS dev,4
66,2,1,Mobile,4
67,3,4,UX designer,4
68,2,1,UI designer,3
69,3,1,IOS dev,4
70,3,1,Mobile,3
71,3,4,IOS dev,4
72,4,2,Backend dev,3
73,3,5,QA,3
74,3,1,Android dev,2
75,3,2,UI designer,3
76,3,2,Frontend dev,1
77,3,1,Frontend dev,4
78,3,4,UI designer,4
79,3,1,Mobile,1
80,3,3,QA,4
81,2,2,Frontend dev,3
82,2,1,QA,2
83,3,2,Frontend dev,4
84,3,1,UI designer,4
85,3,3,UI designer,4
86,3,3,Frontend dev,2
87,4,3,Mobile,2
88,2,1,Android dev,4
89,3,1,IOS dev,2
90,4,2,Backend dev,3
91,1,1,QA,4
92,2,2,Mobile,3
93,2,3,PM,3
94,3,2,Mobile,2
95,2,4,IOS dev,3
96,3,2,Frontend dev,1
97,3,1,Frontend dev,3
98,3,5,UI designer,3
99,3,1,IOS dev,4
100,2,4,QA,2
101,1,2,UX designer,4
102,3,2,UX designer,4
103,1,5,IOS dev,3
104,3,2,Mobile,3
105,1,2,UI designer,4
106,1,5,IOS dev,3
107,4,4,Backend dev,1
108,3,2,UI designer,3
109,4,1,PM,2
110,3,3,UX designer,4
111,2,1,UI designer,3
112,3,4,Mobile,2
113,3,1,UX designer,2
114,4,2,UI designer,4
115,3,3,Backend dev,2
116,3,1,IOS dev,2
117,2,3,Frontend dev,4
118,3,2,Backend dev,3
119,3,1,UX designer,4
120,3,1,Frontend dev,3
121,3,1,Android dev,4
122,3,1,IOS dev,4
123,3,5,UI designer,3
124,3,2,Mobile,2
125,3,2,UX designer,NA
126,2,1,UX designer,2
127,3,5,QA,3
128,2,3,UX designer,4
129,3,1,Android dev,1
130,2,3,PM,2
131,2,4,UI designer,1
132,2,3,UX designer,2
133,3,1,UI designer,2
134,2,1,Mobile,3
135,2,2,Android dev,1
136,3,1,PM,3
137,2,3,UI designer,1
138,2,1,Backend dev,4
139,3,2,PM,3
140,4,1,PM,4
141,2,3,Frontend dev,3
142,3,3,UX designer,1
143,1,1,Frontend dev,3
144,3,3,UI designer,1
145,3,2,Android dev,3
146,2,3,IOS dev,1
147,2,3,Backend dev,1
148,3,3,Mobile,1
149,2,2,PM,3
150,3,1,PM,4
151,3,2,UI designer,4
152,2,2,Mobile,3
153,3,1,PM,4
154,3,1,Android dev,1
155,2,1,PM,3
156,3,4,Frontend dev,4
157,2,1,UI designer,2
158,3,2,UI designer,3
159,3,2,PM,4
160,2,1,Android dev,3
161,4,4,Frontend dev,4
162,2,2,Backend dev,4
163,3,3,Backend dev,3
164,2,3,Mobile,2
165,3,1,Frontend dev,4
166,3,3,IOS dev,1
167,3,4,QA,4
168,3,3,QA,3
169,3,3,Backend dev,4
170,3,4,Mobile,1
171,2,5,QA,4
172,2,1,UI designer,3
173,3,2,Mobile,3
174,3,2,Android dev,3
175,4,1,UI designer,3
176,2,1,QA,4
177,3,2,Backend dev,2
178,2,4,UX designer,3
179,3,2,UI designer,4
180,3,1,PM,2
181,1,2,UI designer,3
