employeeID ,jobID ,performanceRating ,spentTime ,standardHours ,totalWorkingYears ,inTime,outTime 
2134,2302,3,04:00:00,8,1,2020-12-02 10:57:52,2020-12-02 17:32:24
833,4986,4,05:00:00,8,6,2020-12-02 09:57:52,2020-12-02 18:02:46
1363,2325,3,05:30:00,8,5,2020-12-02 09:55:43,2020-12-02 16:54:49
3703,3370,3,15:30:00,8,13,2020-12-02 10:10:34,2020-12-02 17:13:35
5582,1899,3,18:00:00,8,9,2020-12-02 10:09:28,2020-12-02 17:02:52
1600,4109,3,18:05:00,8,28,2020-12-02 09:38:52,2020-12-02 20:31:54
1610,244,4,21:00:00,8,5,2020-12-02 10:06:46,2020-12-02 17:04:12
2241,995,4,01:30:00,8,10,NA,2020-12-02 16:11:26
377,1478,4,01:40:00,8,10,2020-12-02 10:02:14,2020-12-02 18:10:31
3201,5437,3,04:00:00,8,6,NA,2020-12-02 17:21:51
1044,2689,3,07:00:00,8,21,2020-12-02 09:51:37,2020-12-02 18:47:45
4857,5095,3,08:00:00,8,16,2020-12-02 09:31:16,2020-12-02 19:25:37
5439,2163,3,09:00:00,8,37,2020-12-02 09:48:25,2020-12-02 16:32:55
2432,3376,3,10:00:00,8,10,2020-12-02 09:33:33,2020-12-02 17:17:35
449,2143,3,10:10:00,8,5,2020-12-02 09:40:10,2020-12-02 16:23:02
2055,1705,3,19:00:00,8,7,2020-12-02 09:57:09,2020-12-02 21:20:32
4426,3970,3,19:10:00,8,3,2020-12-02 10:14:37,2020-12-02 16:07:12
235,5175,3,19:40:00,8,15,2020-12-02 10:01:42,2020-12-02 18:33:42
1816,2699,3,20:40:00,8,10,2020-12-02 10:15:15,2020-12-02 17:44:18
3861,552,3,04:00:00,8,8,2020-12-02 09:51:12,2020-12-02 15:29:25
5365,2731,3,09:00:00,8,6,2020-12-02 09:47:14,2020-12-02 18:11:51
1432,2736,4,10:00:00,8,28,2020-12-02 10:12:56,2020-12-02 16:27:09
3904,3987,3,10:30:00,8,21,2020-12-02 09:45:15,2020-12-02 16:48:18
1921,529,3,10:35:00,8,NA,2020-12-02 09:44:41,2020-12-02 19:57:57
2569,957,3,11:35:00,8,10,2020-12-02 09:55:21,2020-12-02 21:07:57
1929,1402,3,11:40:00,8,12,2020-12-02 09:30:57,2020-12-02 17:54:39
3108,1398,4,11:55:00,8,5,2020-12-02 09:58:37,2020-12-02 21:35:41
2452,3409,3,13:55:00,8,17,2020-12-02 09:53:12,2020-12-02 17:02:31
4375,609,3,14:55:00,8,19,2020-12-02 10:11:28,2020-12-02 19:54:09
