employeeAdditionalInfo,employeeID,education,maritalStatus ,monthlyIncome ,environmentSatisfaction,trainingTimesLastYear
,580,2,Married,131160,3,6
,1714,1,Single,41890,3,3
,3197,4,Married,193280,2,2
,744,5,Married,83210,4,5
,735,1,Single,23420,4,2
,187,3,Married,40710,3,5
,1953,2,Single,58130,1,2
,4815,3,Married,31430,1,2
,3886,3,Married,20440,2,2
,2685,4,Divorced,134640,2,2
,1148,2,Married,79910,3,2
,2712,1,Married,33770,NA,2
,4253,4,Single,55380,4,2
,4658,1,Married,57620,1,4
,2088,3,Married,25920,4,2
,4791,3,Married,53460,3,2
,368,2,Single,42130,4,3
,1885,3,Divorced,41270,1,2
,1301,4,Divorced,24380,2,5
,5709,3,Divorced,68700,1,5
,5197,4,Divorced,104470,3,3
,5511,4,Divorced,96670,1,2
,4258,4,Married,21480,3,2
,4709,4,Married,89260,2,4
,5563,4,Single,65130,2,2
,3256,4,Married,67990,2,2
,5670,3,Married,162910,1,3
,905,1,Single,27050,4,2
,652,2,Divorced,103330,4,2
,1819,3,Divorced,44480,4,3
,1304,3,Divorced,68540,1,5
,4307,3,Single,96370,4,6
,1888,1,Single,35910,3,2
,4956,3,Single,54050,3,2
,1754,4,Divorced,46840,4,4
,5616,3,Single,157870,4,5
,3958,1,Married,15140,2,3
,3893,2,Married,29560,3,2
,520,4,Single,23350,3,3
,5093,2,Married,51540,3,2
,1737,3,Married,69620,3,2
,5036,3,Divorced,56750,4,2
,3415,1,Single,23790,4,6
,836,3,Single,38120,4,3
,4261,3,Single,46480,2,2
,2703,1,Married,29360,2,2
,2477,4,Divorced,21050,3,3
,2995,4,Married,85780,2,4
,800,3,Married,27060,4,4
,3377,2,Married,63840,1,4
,5688,3,Divorced,39680,4,3
,2389,1,Married,99070,3,3
,4264,4,Married,132250,1,2
,2291,1,Divorced,35400,1,6
,1327,4,Divorced,28040,3,0
,1939,3,Married,193920,4,3
,776,4,Married,196650,3,6
,3082,4,Single,24390,3,2
,4310,3,Single,73140,3,2
,4975,1,Married,47740,3,2
,2791,4,Single,39020,3,2
,2302,3,Married,26620,3,6
,3131,2,Single,28560,4,5
,3871,3,Divorced,10810,4,4
,5624,3,Single,24720,1,2
,1145,4,Married,56730,1,4
,3834,3,Married,41970,4,3
,853,1,Married,97130,3,5
,137,4,Married,20620,3,4
,1915,1,Married,42840,4,0
,986,2,Single,47880,2,0
,163,3,Married,59060,4,4
,469,3,Divorced,38860,3,2
,3604,3,Married,168230,3,3
,3474,4,Single,29330,4,2
,2924,2,Married,65000,3,3
,964,1,Married,171740,4,6
,2115,4,Married,50330,2,6
,4295,3,Married,23070,2,0
,5689,3,Single,25870,2,3
,3122,3,Divorced,55070,4,2
,5427,2,Married,43930,2,2
,663,4,Divorced,133480,4,4
,5533,4,Divorced,65830,3,1
,1209,3,Single,81030,3,5
,5135,4,Divorced,39780,4,0
,309,2,Single,25440,3,3
,4052,4,Divorced,53990,3,2
,5515,2,Single,54870,4,0
,2451,3,Single,68340,2,2
,3501,4,Single,10910,1,0
,3780,4,Married,57360,4,1
,2382,4,Divorced,22260,3,3
,1536,3,Married,57470,3,0
,1452,4,Married,98540,1,2
,1958,5,Divorced,54670,3,2
,1625,4,Married,53800,4,0
,3150,3,Married,51510,3,3
,4503,2,Single,21330,1,2
,3429,3,Single,178750,1,5
,3084,3,Single,24320,4,4
,2584,3,Married,47710,1,2
,4484,4,Married,191610,4,2
,4816,3,Married,50870,4,3
,141,5,Single,28630,1,2
,993,2,Single,55610,4,3
,3993,3,Married,21440,3,3
,4710,4,Married,30650,3,3
,3615,1,Single,28100,1,3
,5340,3,Single,98880,4,2
,2499,3,Married,86280,3,2
,549,3,Single,28670,NA,5
,1506,2,Single,53730,3,2
,5573,3,Single,66670,4,6
,303,3,Single,50030,3,2
,1665,3,Divorced,23670,4,2
,1066,2,Single,28580,2,2
,1183,3,Single,52040,2,3
,755,2,Married,41050,3,2
,2012,2,Married,96790,4,1
,4576,3,Single,56170,1,3
,792,3,Single,104480,3,3
,1854,3,Divorced,28970,4,4
,1172,3,Married,59680,3,3
,2535,3,Single,75100,3,3
,304,5,Married,29910,1,3
,4582,3,Married,196360,2,3
,3595,2,Single,11290,3,2
,2236,1,Divorced,133410,4,3
,5399,2,Divorced,43320,4,3
,5704,3,Divorced,110310,2,2
,2822,1,Single,44400,3,3
,5094,2,Divorced,46170,1,2
,969,2,Married,26470,2,2
,5580,3,Married,63230,1,2
,383,3,Married,56770,3,3
,2834,4,Married,21870,2,2
,4267,3,Married,37480,4,3
,3146,4,Divorced,39770,3,3
,2711,2,Single,86330,2,2
,5035,3,Married,20080,2,5
,697,1,Married,44400,4,2
,2039,4,Divorced,30670,2,5
,4537,4,Married,53210,3,1
,4762,4,Single,54100,2,2
,348,3,Married,27820,2,2
,433,3,Divorced,119570,3,2
,4420,2,Married,26600,1,3
,1350,2,Married,33750,4,2
,363,3,Married,50980,1,4
,2674,3,Married,48780,4,3
,456,3,Divorced,28370,1,0
,3303,3,Single,24060,3,5
,3995,3,Married,22690,1,4
,1474,4,Divorced,41080,3,5
,987,4,Married,132060,4,2
,1158,2,Single,104220,1,0
,375,3,Divorced,137440,4,3
,5652,3,Married,49070,4,3
,2306,4,Married,34820,3,2
,1312,2,Divorced,24360,1,2
,1735,3,Married,23800,3,2
,2409,3,Married,194310,2,3
,1106,4,Married,17900,3,4
,1157,3,Single,76440,1,2
,2044,4,Married,51310,3,2
,2661,2,Divorced,63060,1,3
,459,4,Married,47870,2,3
,2404,2,Single,188800,3,3
,2981,3,Married,23390,3,4
,2802,3,Divorced,135700,1,2
,3478,1,Married,67120,1,3
,3395,2,Single,54060,4,2
,2111,4,Single,89380,3,2
,1585,2,Divorced,24390,4,2
,4787,3,Married,88370,3,3
,1060,3,Divorced,53430,3,3
,255,3,Married,67280,2,2
,4807,4,Divorced,66520,1,5
,3102,3,Single,48500,4,4
,1911,2,Married,28090,4,2
,4076,2,Married,56890,1,2
,2232,1,Divorced,20010,2,5
,4615,4,Married,29770,2,3
,1916,4,Single,40250,2,3
,997,3,Single,37850,3,2
,1368,3,Married,108540,2,6
,3341,3,Single,120310,1,5
,5060,2,Single,99360,4,2
,3461,3,Married,29660,2,2
,3718,3,Single,25710,2,1
,4003,1,Married,99910,3,3
,3142,4,Single,61420,2,2
,4514,3,Married,53900,4,3
,4323,1,Married,44040,4,2
,2576,1,Divorced,59930,NA,3
,428,3,Divorced,51300,4,3
,2268,3,Divorced,20900,1,2
,645,4,Divorced,29090,3,2
,4543,3,Single,34680,2,4
,4328,4,Divorced,30680,3,3
,5022,3,Single,26700,1,2
,4199,4,Divorced,26930,1,3
,2203,4,Single,95260,1,2
,5164,3,Single,52370,4,3
,5059,3,Single,24260,3,3
,5049,1,Single,41930,2,5
,1468,1,Married,29110,1,3
,2193,1,Married,26610,2,2
,2185,2,Divorced,20280,1,3
,1470,1,Divorced,99800,4,2
,656,2,Married,32980,4,4
,4215,3,Married,29350,4,5
,4770,3,Married,154270,3,2
,3536,4,Married,39440,2,3
,3316,1,Divorced,40110,4,2
,3487,3,Married,34070,2,2
,3622,4,Married,119940,1,6
,1608,3,Married,12320,4,4
,5613,2,Married,29600,1,2
,2035,3,Married,190940,2,3
,3349,3,Married,39190,1,3
,307,3,Married,68250,2,2
,342,2,Married,102480,2,4
,5379,1,Divorced,189470,2,2
,473,3,Single,24960,1,3
,4335,3,Divorced,64650,1,3
,5236,4,Divorced,22060,1,4
,1332,4,Married,20860,4,3
,3289,4,Single,22930,4,3
,5494,4,Married,26450,3,5
,2337,5,Divorced,26830,2,3
,4720,4,Single,20140,3,5
,4862,3,Divorced,34190,4,5
,980,1,Married,53760,4,3
,2454,4,Single,19510,1,4
,3720,4,Divorced,23410,3,3
,1728,3,Divorced,22930,3,0
,2708,2,Single,87260,3,2
,763,2,Married,40110,4,2
,1513,2,Married,195450,1,3
,2683,4,Divorced,45680,3,2
,3717,1,Married,30220,1,3
,5342,5,Divorced,57720,3,3
,3496,3,Single,22690,4,2
,949,5,Married,53810,2,0
,2495,4,Married,34410,1,5
,1046,2,Married,54540,3,5
,4035,3,Married,98840,3,3
,3261,3,Married,41570,2,2
,3822,5,Single,134580,2,3
,3269,3,Divorced,90690,3,3
,3829,2,Married,40140,3,4
,3900,3,Divorced,59150,2,3
,5081,3,Single,59930,1,3
,1367,3,Single,61620,4,2
,2240,4,Single,24060,1,3
,3143,1,Married,187400,3,2
,1846,3,Married,76370,1,3
,3284,3,Married,100960,4,3
,3652,3,Single,147560,4,3
,201,4,Divorced,64990,2,3
,1839,3,Married,97240,2,2
